joint_value_FR_Thigh,accel_x,accel_y,accel_z,foot_force,"Label (stand : 1, Sit : 0)"
-0.654040979,0.397437,0.0622492,9.6199,29,1
-0.692621695,0.414197,0.0694318,9.61152,29,1
-0.684485673,0.414197,0.0694318,9.61152,28,1
-0.677780956,0.414197,0.0694318,9.61152,28,1
-0.656097987,0.39624,0.047884,9.57202,28,1
-0.67393254,0.39624,0.047884,9.57202,28,1
-0.68071561,0.414197,0.0574608,9.59716,28,1
-0.673509277,0.414197,0.0574608,9.59716,28,1
-0.660365007,0.414197,0.0574608,9.59716,28,1
-0.68694369,0.40462,0.0622492,9.5816,28,1
-0.65808627,0.40462,0.0622492,9.5816,28,1
-0.653198471,0.426168,0.0371101,9.61152,28,1
-0.692555754,0.426168,0.0371101,9.61152,28,1
-0.678125977,0.426168,0.0371101,9.61152,28,1
-0.691372552,0.398635,-0.0347159,9.5804,28,1
-0.66541971,0.398635,-0.0347159,9.5804,28,1
-0.685957433,0.385466,-0.0263362,9.55526,28,1
-0.66568989,0.385466,-0.0263362,9.55526,28,1
-0.686306692,0.385466,-0.0263362,9.55526,28,1
-0.668659661,0.354342,-0.0167594,9.55765,28,1
-0.684467422,0.354342,-0.0167594,9.55765,28,1
-0.654791322,0.354342,-0.0167594,9.55765,28,1
-0.69792651,0.336385,-0.0011971,9.56603,28,1
-0.664532444,0.336385,-0.0011971,9.56603,28,1
-0.688360348,0.298078,-0.0371101,9.59237,28,1
-0.692148477,0.298078,-0.0371101,9.59237,28,1
-0.662957416,0.27653,0.0023942,9.54449,28,1
-0.66403054,0.27653,0.0023942,9.54449,28,1
-0.657162352,0.27653,0.0023942,9.54449,28,1
-0.657523592,0.259771,-0.023942,9.50857,28,1
-0.677753972,0.259771,-0.023942,9.50857,29,1
-0.680123009,0.254982,0.0143652,9.56005,29,1
-0.685149487,0.254982,0.0143652,9.56005,29,1
-0.680239531,0.254982,0.0143652,9.56005,29,1
-0.672283855,0.282516,0.0263362,9.56962,29,1
-0.687576118,0.282516,0.0263362,9.56962,29,1
-0.674748522,0.282516,0.0263362,9.56962,29,1
-0.656721728,0.269348,0.0610521,9.56484,29,1
-0.658567029,0.269348,0.0610521,9.56484,29,1
-0.677769562,0.295684,0.106542,9.6223,29,1
-0.695833413,0.295684,0.106542,9.6223,29,1
-0.693205919,0.299275,0.0921768,9.59357,29,1
-0.672211944,0.299275,0.0921768,9.59357,29,1
-0.673317965,0.299275,0.0921768,9.59357,29,1
-0.677982479,0.339977,0.0933739,9.59835,29,1
-0.673897705,0.339977,0.0933739,9.59835,29,1
-0.656389855,0.414197,0.0766145,9.63427,29,1
-0.685115756,0.414197,0.0766145,9.63427,29,1
-0.69063123,0.414197,0.0766145,9.63427,29,1
-0.653443024,0.403423,0.0562637,9.57322,29,1
-0.668489388,0.403423,0.0562637,9.57322,29,1
-0.690432452,0.415394,0.0658405,9.54688,29,1
-0.654270828,0.415394,0.0658405,9.54688,28,1
-0.661493926,0.415394,0.0658405,9.54688,28,1
-0.657894356,0.417788,0.0299275,9.61272,28,1
-0.692774154,0.417788,0.0299275,9.61272,28,1
-0.682935172,0.423774,-0.0215478,9.58519,28,1
-0.678136199,0.423774,-0.0215478,9.58519,28,1
-0.683927119,0.423774,-0.0215478,9.58519,28,1
-0.663019272,0.389058,-0.035913,9.51695,28,1
-0.681920934,0.389058,-0.035913,9.51695,28,1
-0.666987191,0.365116,-0.0538695,9.66898,28,1
-0.693420647,0.365116,-0.0538695,9.66898,28,1
-0.688463319,0.365116,-0.0538695,9.66898,28,1
-0.698328412,0.320823,-0.0418985,9.54808,28,1
-0.674075825,0.320823,-0.0418985,9.54808,28,1
-0.685600058,0.278924,-0.0897826,9.56124,28,1
-0.652443154,0.278924,-0.0897826,9.56124,28,1
-0.679192442,0.278924,-0.0897826,9.56124,28,1
-0.659271875,0.248997,-0.0442927,9.54688,28,1
-0.680146988,0.248997,-0.0442927,9.54688,28,1
-0.679484318,0.248997,-0.0442927,9.54688,28,1
-0.667170319,0.241814,-0.0311246,9.56603,28,1
-0.660764625,0.241814,-0.0311246,9.56603,29,1
-0.693221224,0.245406,-0.0287304,9.57202,29,1
-0.699022616,0.245406,-0.0287304,9.57202,29,1
-0.682272271,0.245406,-0.0287304,9.57202,29,1
-0.665800873,0.2478,0.0263362,9.59476,29,1
-0.652255514,0.2478,0.0263362,9.59476,29,1
-0.665469587,0.234632,0.0430956,9.53251,29,1
-0.684409078,0.234632,0.0430956,9.53251,29,1
-0.675697171,0.234632,0.0430956,9.53251,29,1
-0.685496115,0.27653,0.059855,9.63307,29,1
-0.664001022,0.27653,0.059855,9.63307,29,1
-0.697168503,0.318429,0.0897826,9.61871,29,1
-0.684915712,0.318429,0.0897826,9.61871,29,1
-0.652331677,0.318429,0.0897826,9.61871,29,1
-0.69957022,0.336385,0.0371101,9.62469,29,1
-0.653663136,0.336385,0.0371101,9.62469,29,1
-0.665958041,0.349553,0.0442927,9.60314,29,1
-0.699783603,0.349553,0.0442927,9.60314,29,1
-0.699078403,0.349553,0.0442927,9.60314,29,1
-0.661168529,0.362722,0.0706289,9.5385,29,1
